tripID,deviceID,timeStamp,accData,gps_speed,battery,cTemp,dtc,eLoad,iat,imap,kpl,maf,rpm,speed,tAdv,tPos
1,11.0,2018-01-11 12:50:18,0168fc300460f8fcc2f700c2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11.0,2018-01-11 12:50:19,01c0fbe80478f8ffc0f8fdc1f8fdc1f8ffc1f7ffc2f8ffc4f800c1f8ffc1f8fec1f700c1f7ffc0f700c3f8ffc3f8ffc2f7fdc3f500c2f600c3f7ffc2f7ffc1f8ffc1f8ffc1f9fdc1f6ffc2f8fec2f7fec3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11.0,2018-01-11 12:50:20,0200fbc00448f7ffc1f7ffc2f7ffc1f800c1f7ffc1f7fec1f700c2f500c3f8ffc1f7fec2f8ffc0f7ffc1f7ffc1f6fec2f7fec1f7ffc1f7fec1f9fec0f7ffc1f801c1f7ffc3f8ffc5f800c1f800c2f800c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11.0,2018-01-11 12:50:21,0188fbd80458f500c3f9fdc0f7ffc4f8ffc0f7fdc2f9fcc1f8fec1f701c0f7ffc1f800c2f800c1f8ffc1f8fdc4f8ffc0f700c0f6ffc2f7ffc3f8ffc1f7ffc1f9fec0f7ffc1f7fcc5f700c2f7fec1f8fcc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11.0,2018-01-11 12:50:22,0178fbe00468f7ffc2f7ffc1f8ffc2f7ffc1f8ffc1f700c2f8ffc1f7ffc3f5ffc2f800c2f7ffc1f7ffc3f8fec1f8ffc3f8fdc2f6ffc2f8ffc1f6fec1f6fec3f8ffbff800c2f7ffc1f7fec2f800c2f8fec2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11.0,2018-01-11 12:50:23,0128fc0004b8f7fec0f7ffc1f700c4f7fec3f700c1f7ffc3f7ffc1f8ffc3f700c2f8fec1f8fec3f801c1f7fec1f8ffc1f700c1f800c2f8ffc1f9fdc2f8ffc1f8ffc1f9fec0f9ffc2f7ffc1f7fec2f8fec1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11.0,2018-01-11 12:50:24,01e0fbe80418f7fec2f9fdc4f7ffc2f7ffc1f700c3f6fcc5f7ffc2f7fdc3f7fec2f800c3f8ffc1f8fdc3f7ffc3f7ffc1f9fec2f7ffc2f7fec2f7fdc1f6fec2f8ffc1f701c2f8ffc2f8fec1f800c0f7fec1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11.0,2018-01-11 12:50:25,01d0fbd00460f8ffc0f7fec1f8ffc2f7fec1f7fec2f7ffc2f9fdc2f7ffc3f901c3f900c1f7ffc1f9fec2f7ffc3f700c2f8ffc1f6ffc1f7fec2f600c2f6fec1f7ffc0f800c0f800c2f8fec1f8fec1f701c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11.0,2018-01-11 12:50:26,0190fbe80438f800c2f8ffc2f800c1f8fec1f800c1f700c2f7ffc2f701c2f6fec2f8ffc2f9ffc2f7fec3f7ffc0f9ffc0f8fec2f6fec2f901c1f7fec2f7ffc1f7ffc3f701c3f7ffc2f8fec0f7ffc2f7fec1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11.0,2018-01-11 12:50:27,01e0fbf00428f800c2f700c2f600c3f6ffc0f7fec2f7fec1f8ffc0f6fec1f6fec2f9ffc2f9fec1f7fec1f7fdc2f9fec2f700c2f9ffc3f8ffc0f700c1f8ffc3f7fec3f800c3f7fec1f6fec0f7ffc1f8fcc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11.0,2018-01-11 12:50:28,01a0fc000440f801c0f7ffc4f800c1f8ffc0f700c0f700c3f900c1f7fec2f8ffc1f8ffc1f8ffc2f9ffc1f7fec2f7ffc0f7ffc2f7ffc1f7ffc1f600c0f7fec1f6ffc2f8fec1f7fec0f7fdc0f8fdc3f900c3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
